num_epochs,num_cars,reckless,cautious,normal,avg_diff_speed_reckless,avg_diff_speed_cautious,avg_diff_speed_normal
,30,0.0,0.0,1.0,0.0,0.0,121.02264819640838
,30,0.0,0.0,1.0,0.0,0.0,127.76816362343118
,30,0.0,0.0,1.0,0.0,0.0,109.79701480035558
,30,0.0,0.1,0.9,0.0,200.7747651516245,123.86600071298436
,30,0.0,0.1,0.9,0.0,181.3425813506757,140.66039781874576
,30,0.0,0.1,0.9,0.0,151.1369763573536,132.5717257932236
,30,0.0,0.2,0.8,0.0,191.8967661929172,131.09810563696934
,30,0.0,0.2,0.8,0.0,118.83799197697924,142.9920735735359
,30,0.0,0.2,0.8,0.0,199.8021405379128,171.06840951997808
,30,0.0,0.3,0.7,0.0,149.66177502778797,152.43926690715278
,30,0.0,0.3,0.7,0.0,191.1225985044255,149.84340397149197
,30,0.0,0.3,0.7,0.0,157.05221686880455,147.1995271127609
,30,0.0,0.4,0.6,0.0,183.8492941082459,160.22307195777108
,30,0.0,0.4,0.6,0.0,187.02276088316523,159.67908466165727
,30,0.0,0.4,0.6,0.0,174.7782713775468,155.4398581311057
,30,0.0,0.5,0.5,0.0,147.12679155398232,140.09496778354716
,30,0.0,0.5,0.5,0.0,135.2714766807418,150.36138047547638
,30,0.0,0.5,0.5,0.0,179.55522269808452,165.1586241017124
,30,0.0,0.6,0.4,0.0,212.0119700595692,181.8073879469394
,30,0.0,0.6,0.4,0.0,157.3585462246072,164.5468093335893
,30,0.0,0.6,0.4,0.0,202.33897802763155,173.93919527724506
,30,0.0,0.7,0.3,0.0,194.9628625150956,190.7377205141877
,30,0.0,0.7,0.3,0.0,197.4803564397896,204.083898898022
,30,0.0,0.7,0.3,0.0,250.86509388464967,212.65812412926795
,30,0.0,0.8,0.1999999999999999,0.0,199.94756341456625,181.3711981066645
,30,0.0,0.8,0.1999999999999999,0.0,249.1618315324857,233.20071795354207
,30,0.0,0.8,0.1999999999999999,0.0,219.19143393109988,180.60647740524905
,30,0.0,0.9,0.0999999999999999,0.0,238.60341873218704,212.79911198652533
,30,0.0,0.9,0.0999999999999999,0.0,212.65661208363343,0.0
,30,0.0,0.9,0.0999999999999999,0.0,208.57158841881548,148.28801020271965
,30,0.0,1.0,0.0,0.0,197.70352656933807,0.0
,30,0.0,1.0,0.0,0.0,226.00437954124047,0.0
,30,0.0,1.0,0.0,0.0,261.27407006345186,0.0
,30,0.1,0.0,0.9,131.34269028895054,0.0,110.90252838709304
,30,0.1,0.0,0.9,117.28638997158114,0.0,126.06217128035551
,30,0.1,0.0,0.9,160.005024408357,0.0,101.21669824770518
,30,0.1,0.1,0.8,134.00360281691627,139.23298804236757,104.4079256894966
,30,0.1,0.1,0.8,130.99007865830947,140.57867093699798,102.8947887408474
,30,0.1,0.1,0.8,123.81126680627985,195.75547988034185,136.49982340590472
,30,0.1,0.2,0.7,0.0,181.95529919139,164.13851772720778
,30,0.1,0.2,0.7,170.51502369514304,168.07964821356444,140.1067438690983
,30,0.1,0.2,0.7,157.1884514975859,99.67939033045914,109.48518777335964
,30,0.1,0.3,0.6000000000000001,124.6492314016678,157.35522659979603,137.09145699801712
,30,0.1,0.3,0.6000000000000001,192.15312323474336,164.5524895199443,127.4741843974772
,30,0.1,0.3,0.6000000000000001,132.7660150721567,171.76659353968228,140.35808078670323
,30,0.1,0.4,0.5,164.17161127868704,185.0982765731253,194.42456339448472
,30,0.1,0.4,0.5,160.51049080159447,197.0412330647517,154.78600530545094
,30,0.1,0.4,0.5,0.0,169.69719362806433,185.21738597620444
,30,0.1,0.5,0.4,177.62608190809215,172.51915722892744,146.33051630548425
,30,0.1,0.5,0.4,220.3326832305276,177.4132485321203,192.15402323966
,30,0.1,0.5,0.4,155.26405178376575,160.29457563632397,152.7550293404643
,30,0.1,0.6,0.3,166.32033396934077,181.3190745618901,180.2545014322561
,30,0.1,0.6,0.3,167.85312036208563,207.41002164096312,178.20858463902755
,30,0.1,0.6,0.3,207.7791891031605,255.36366402613868,184.61840299521955
,30,0.1,0.7,0.2,241.3945758660316,213.18509264182097,153.9925510781233
,30,0.1,0.7,0.2,130.78356337060185,142.20752690372598,169.58642778602805
,30,0.1,0.7,0.2,157.88418861474884,148.03249292776766,158.17835002413722
,30,0.1,0.8,0.0999999999999999,204.015546538531,214.3338035001766,216.90130538154423
,30,0.1,0.8,0.0999999999999999,144.52569031851905,183.08496574083733,134.4045227436102
,30,0.1,0.8,0.0999999999999999,158.01104733337849,204.03917503151592,0.0
,30,0.1,0.9,0.0,133.8095106779084,260.72245555510455,0.0
,30,0.1,0.9,0.0,216.13367151154364,250.2480970644397,0.0
,30,0.1,0.9,0.0,0.0,279.2046041644887,0.0
,30,0.2,0.0,0.8,128.43001218895654,0.0,104.83141562243824
,30,0.2,0.0,0.8,116.02279589745372,0.0,94.271148658902
,30,0.2,0.0,0.8,117.86001075372172,0.0,100.61320814659854
,30,0.2,0.1,0.7000000000000001,125.58019451563082,216.15416958540044,133.1221260567207
,30,0.2,0.1,0.7000000000000001,100.1030731406017,0.0,95.87533094809704
,30,0.2,0.1,0.7000000000000001,113.97051122475352,126.00632134806088,135.5606122721242
,30,0.2,0.2,0.6000000000000001,125.67765625793884,112.36317728166328,106.1973792627014
,30,0.2,0.2,0.6000000000000001,136.6125617052794,147.02467874500576,127.95632218673867
,30,0.2,0.2,0.6000000000000001,122.43461406299696,196.5606531920927,193.10425175779525
,30,0.2,0.3,0.5,122.04271057239094,181.5666421453344,156.79371226603877
