num_epochs,num_cars,reckless,cautious,normal,avg_diff_speed_reckless,avg_diff_speed_cautious,avg_diff_speed_normal,avg_lane_changes,avg_speed
,60,0.0,0.0,1.0,0.0,0.0,221.7154425689966,0.928082191780822,0.5532901497372001
,60,0.0,0.0,1.0,0.0,0.0,197.2971048975361,0.8557457212713936,0.6020508818567294
,60,0.0,0.0,1.0,0.0,0.0,215.4131895304748,0.8966565349544073,0.5634976353294003
,60,0.0,0.1,0.9,0.0,250.3074484631875,235.502848185823,0.9133574007220217,0.533822804013067
,60,0.0,0.1,0.9,0.0,228.87405227689,237.3416543366726,0.8908554572271387,0.5338437374327262
,60,0.0,0.1,0.9,0.0,298.4778400960024,264.2738312498331,0.8324742268041238,0.45532166536025
,60,0.0,0.2,0.8,0.0,275.1238362378164,248.0349077585541,0.8833333333333333,0.4675286208450678
,60,0.0,0.2,0.8,0.0,279.8298857440319,298.5410738709867,0.8301158301158301,0.4052054463958209
,60,0.0,0.2,0.8,0.0,187.77658868335308,207.65880971559096,0.8988439306358381,0.5694182511926598
,60,0.0,0.3,0.7,0.0,287.02415039107245,262.8118773058919,0.8754716981132076,0.4499165809275866
,60,0.0,0.3,0.7,0.0,292.0009159401037,287.2239459228734,0.8862068965517241,0.4180783594645966
,60,0.0,0.3,0.7,0.0,315.08326078463386,321.0309796924616,0.8764478764478765,0.3540478547392358
,60,0.0,0.4,0.6,0.0,315.4223014464499,278.27359400070986,0.9136690647482014,0.387936824299155
,60,0.0,0.4,0.6,0.0,252.3779618931437,275.9255231971024,0.8980891719745223,0.4633569220901991
,60,0.0,0.4,0.6,0.0,327.33587323006464,375.95965017815126,0.9411764705882352,0.247135462599176
,60,0.0,0.5,0.5,0.0,309.69349602934307,297.9785300209268,0.8818897637795275,0.3763473930403612
,60,0.0,0.5,0.5,0.0,291.45481673343585,265.5173847103979,0.9015748031496064,0.419492133454597
,60,0.0,0.5,0.5,0.0,351.89671135560025,319.9240657001599,0.8794326241134752,0.2858712052937326
,60,0.0,0.6,0.4,0.0,328.16119778861923,348.3617911631764,0.93359375,0.3154018814961353
,60,0.0,0.6,0.4,0.0,308.93240975414216,307.61404106563964,0.8933823529411765,0.3379530558895767
,60,0.0,0.6,0.4,0.0,338.4572553184173,312.47025330632994,0.8433179723502304,0.2846235065044539
,60,0.0,0.7,0.3,0.0,343.0359896271113,341.90056991660174,0.8264840182648402,0.2747735053198015
,60,0.0,0.7,0.3,0.0,362.8140942437552,343.4153814127656,0.8898305084745762,0.2319100026880391
,60,0.0,0.7,0.3,0.0,365.528368253116,380.9740903093825,0.8520408163265306,0.2244791594264763
,60,0.0,0.8,0.1999999999999999,0.0,298.9721006218291,296.412523981306,0.871900826446281,0.3766297700813695
,60,0.0,0.8,0.1999999999999999,0.0,345.5744763841544,341.740519911159,0.903954802259887,0.2622759633674876
,60,0.0,0.8,0.1999999999999999,0.0,356.1858118051798,330.8320903164122,0.8938053097345132,0.2821536534810694
,60,0.0,0.9,0.0999999999999999,0.0,364.1745772908913,352.2066407073268,0.8847736625514403,0.2376420913780459
,60,0.0,0.9,0.0999999999999999,0.0,359.695308659329,351.7887509731506,0.85,0.2387927321439905
,60,0.0,0.9,0.0999999999999999,0.0,361.2203544064665,423.8908965277594,0.837037037037037,0.2048883524797011
,60,0.0,1.0,0.0,0.0,351.47315539222643,0.0,0.7971014492753623,0.2334502402417116
,60,0.0,1.0,0.0,0.0,370.8651368705673,0.0,0.8581560283687943,0.1997630156189757
,60,0.0,1.0,0.0,0.0,346.6458029165807,0.0,0.8983957219251337,0.2580274873455955
,60,0.1,0.0,0.9,264.44963221130297,0.0,236.17654875215288,0.8621621621621621,0.5365609898576295
,60,0.1,0.0,0.9,175.6792829405084,0.0,201.67289730519948,0.9048780487804878,0.5964288913844262
,60,0.1,0.0,0.9,344.6527803231612,0.0,261.3559766919591,0.8136645962732919,0.4834800442308906
,60,0.1,0.1,0.8,260.0284869779381,260.74607882695216,253.66110342836004,0.9201183431952664,0.5035837629052489
,60,0.1,0.1,0.8,239.58168243446696,184.4994598105728,226.5236983744136,0.8783783783783784,0.5377299718048304
,60,0.1,0.1,0.8,279.9565492441079,244.3695658099533,250.54565006099725,0.9054054054054054,0.5045447649808504
,60,0.1,0.2,0.7,277.34469138523343,294.89203424034145,278.19698984053593,0.9168831168831169,0.4561143215600394
,60,0.1,0.2,0.7,443.8554090411515,299.455366379376,311.3270315611315,0.8783783783783784,0.3555852936407203
,60,0.1,0.2,0.7,266.0299145328587,229.5594988377172,255.3263797231691,0.9319526627218936,0.4960983570415656
,60,0.1,0.3,0.6000000000000001,316.0146489372538,313.04452575139555,316.4082327145362,0.8153846153846154,0.3728423898876992
,60,0.1,0.3,0.6000000000000001,260.8472762694465,286.1294416129718,239.84373536385044,0.845679012345679,0.4594714881618297
,60,0.1,0.3,0.6000000000000001,253.10544383122289,308.69465525641846,235.05830343804143,0.8934169278996865,0.4648242543804328
,60,0.1,0.4,0.5,258.1169329577376,282.44686095440494,260.4684237428633,0.850415512465374,0.4417909486502688
,60,0.1,0.4,0.5,345.3550932448723,302.88680768517577,271.90016902524275,0.8253968253968254,0.3923395938454788
,60,0.1,0.4,0.5,288.5920921212455,292.90150423512665,309.5596581311415,0.786144578313253,0.3936954708942313
,60,0.1,0.5,0.4,336.55959780423143,324.2510960833828,326.826846063041,0.9107142857142856,0.3426991673478346
,60,0.1,0.5,0.4,301.24531211249257,307.3664643263809,297.77784597747456,0.8817204301075269,0.3762322096221238
