num_epochs,num_cars,reckless,cautious,normal,avg_diff_speed_reckless,avg_diff_speed_cautious,avg_diff_speed_normal
,75,0.0,0.0,1.0,0.0,0.0,280.9991954220389
,75,0.0,0.0,1.0,0.0,0.0,278.7298482404849
,75,0.0,0.0,1.0,0.0,0.0,272.2745444886449
,75,0.0,0.1,0.9,0.0,336.1506009543336,331.9219691460506
,75,0.0,0.1,0.9,0.0,327.7260157452208,300.031169237613
,75,0.0,0.1,0.9,0.0,326.8576453232826,317.4650099378525
,75,0.0,0.2,0.8,0.0,380.2086415809285,359.904343148286
,75,0.0,0.2,0.8,0.0,393.4258046503605,352.0254612777358
,75,0.0,0.2,0.8,0.0,355.36757194585164,332.0133787664438
,75,0.0,0.3,0.7,0.0,377.48003811586375,371.584648952008
,75,0.0,0.3,0.7,0.0,371.131103730336,367.8279866952224
,75,0.0,0.3,0.7,0.0,362.10669192727227,372.6777238300874
,75,0.0,0.4,0.6,0.0,384.08790370074473,396.0421331705163
,75,0.0,0.4,0.6,0.0,400.8849737822018,391.6517981755912
,75,0.0,0.4,0.6,0.0,395.6205369891615,379.32486972793527
,75,0.0,0.5,0.5,0.0,418.3819968163469,395.7508920949888
,75,0.0,0.5,0.5,0.0,408.7571747843385,419.07358657019694
,75,0.0,0.5,0.5,0.0,408.2667783682448,404.09378216787366
,75,0.0,0.6,0.4,0.0,429.5897559988234,420.1132043765592
,75,0.0,0.6,0.4,0.0,404.8806927168528,402.0620817854432
,75,0.0,0.6,0.4,0.0,417.5587553010967,421.203221775801
,75,0.0,0.7,0.3,0.0,431.48392705557455,438.35655080747136
,75,0.0,0.7,0.3,0.0,419.1145229169914,411.09379635067467
,75,0.0,0.7,0.3,0.0,415.4095660692474,444.4394436567653
,75,0.0,0.8,0.1999999999999999,0.0,434.1110633475489,455.8054356240783
,75,0.0,0.8,0.1999999999999999,0.0,424.6032472446395,431.87558835229066
,75,0.0,0.8,0.1999999999999999,0.0,419.494047691292,416.66145948206446
,75,0.0,0.9,0.0999999999999999,0.0,439.1626446102076,462.4152804536844
,75,0.0,0.9,0.0999999999999999,0.0,442.3959417594064,455.894402444956
,75,0.0,0.9,0.0999999999999999,0.0,440.2011790964768,405.12608404895104
,75,0.0,1.0,0.0,0.0,452.4775837475776,0.0
,75,0.0,1.0,0.0,0.0,429.3188941708384,0.0
,75,0.0,1.0,0.0,0.0,448.5336630117458,0.0
,75,0.1,0.0,0.9,274.3485632027844,0.0,278.80052763753974
,75,0.1,0.0,0.9,303.090138696567,0.0,277.9377729214804
,75,0.1,0.0,0.9,294.2310303797553,0.0,297.9674444563451
,75,0.1,0.1,0.8,319.0351772944118,289.180617933458,321.2926327955892
,75,0.1,0.1,0.8,357.4625990970277,327.69816860276194,337.6436217754956
,75,0.1,0.1,0.8,334.95207102221207,340.18738759932137,311.41528381324264
,75,0.1,0.2,0.7,368.3993880358675,347.00631618970203,331.6815834554234
,75,0.1,0.2,0.7,358.39176376091257,380.2833791835407,357.7941305457939
,75,0.1,0.2,0.7,368.3362858375769,339.53942135769654,333.17271175701694
,75,0.1,0.3,0.6000000000000001,383.42124385464746,381.8657512729393,364.65284313015417
,75,0.1,0.3,0.6000000000000001,387.8768144482736,400.3931893496044,371.1064123534974
,75,0.1,0.3,0.6000000000000001,343.69970775141064,362.6637368019239,353.0726923136449
,75,0.1,0.4,0.5,385.0431027510703,383.1791582869836,396.5714515030862
,75,0.1,0.4,0.5,377.2349563415692,399.7144236179106,395.8139658381762
,75,0.1,0.4,0.5,356.2971570319613,358.7500246248892,378.16118770562144
,75,0.1,0.5,0.4,369.19357091049744,391.4991379227747,396.0857530765316
,75,0.1,0.5,0.4,398.5625930869834,408.2203409180333,385.2229311385538
,75,0.1,0.5,0.4,400.6242759453653,407.9284519601409,380.4227331470517
,75,0.1,0.6,0.3,417.6664689274584,409.2083499672691,419.299982503613
,75,0.1,0.6,0.3,439.8093987767072,413.9293245923578,415.6002951233364
,75,0.1,0.6,0.3,429.3570919719352,387.70845705125487,402.4867706381313
,75,0.1,0.7,0.2,453.3247571630559,421.7277224986136,445.5991973111816
,75,0.1,0.7,0.2,396.6386199252409,406.9372646910494,421.5975345925714
,75,0.1,0.7,0.2,426.10116457820766,422.4299895902642,429.2940408030696
,75,0.1,0.8,0.0999999999999999,394.2487043511696,423.5333603859326,439.6902052995941
,75,0.1,0.8,0.0999999999999999,423.29856267011496,416.64596897921217,430.24304841372094
,75,0.1,0.8,0.0999999999999999,424.1560172558305,427.65928215750944,409.7069783179443
,75,0.1,0.9,0.0,424.0968612549783,427.9861395103501,0.0
,75,0.1,0.9,0.0,449.8298736243773,446.65165156185776,0.0
,75,0.1,0.9,0.0,413.3392407999213,431.3936728615192,0.0
,75,0.2,0.0,0.8,318.57356995556376,0.0,292.49770874228614
,75,0.2,0.0,0.8,310.42745889192014,0.0,279.20071239057927
,75,0.2,0.0,0.8,300.89884983471006,0.0,285.578588903502
,75,0.2,0.1,0.7000000000000001,339.615545228672,350.11810914966435,320.69639591134865
,75,0.2,0.1,0.7000000000000001,342.9362331762843,305.3348979038833,298.67647607565937
,75,0.2,0.1,0.7000000000000001,349.3331651986586,373.0757051548935,300.2512842045262
,75,0.2,0.2,0.6000000000000001,349.70899688368786,354.46183622767467,337.51402420402303
,75,0.2,0.2,0.6000000000000001,352.63582789029124,357.0906372222902,345.7110426038313
,75,0.2,0.2,0.6000000000000001,356.60541233288603,340.50743686598844,336.525778063599
,75,0.2,0.3,0.5,366.662679434992,373.5523416940477,365.20094914252047
