num_epochs,num_cars,reckless,cautious,normal,avg_diff_speed_reckless,avg_diff_speed_cautious,avg_diff_speed_normal
,30,0.0,0.0,1.0,0.0,0.0,106.35342916905708
,30,0.0,0.0,1.0,0.0,0.0,85.72325499270251
,30,0.0,0.0,1.0,0.0,0.0,84.74821299372509
,30,0.0,0.1,0.9,0.0,0.0,72.07543316206988
,30,0.0,0.1,0.9,0.0,226.6991053580749,74.67381602441212
,30,0.0,0.1,0.9,0.0,107.75309992159836,92.05521474034396
,30,0.0,0.2,0.8,0.0,131.77873857985492,98.92813206878056
,30,0.0,0.2,0.8,0.0,142.05849393549164,88.74060758641622
,30,0.0,0.2,0.8,0.0,159.5573790527762,85.06656778901282
,30,0.0,0.3,0.7,0.0,164.47029693040804,86.12617963246241
,30,0.0,0.3,0.7,0.0,151.15709536261292,91.06299844146542
,30,0.0,0.3,0.7,0.0,75.69598460713817,80.17437129929178
,30,0.0,0.4,0.6,0.0,135.22183337988218,107.68232122973716
,30,0.0,0.4,0.6,0.0,129.5799695593676,95.13343820821262
,30,0.0,0.4,0.6,0.0,108.58022790642868,90.25709712848636
,30,0.0,0.5,0.5,0.0,112.6494704144308,115.74702258286304
,30,0.0,0.5,0.5,0.0,140.487189047747,106.17917834848927
,30,0.0,0.5,0.5,0.0,137.03923691861746,92.4133582815142
,30,0.0,0.6,0.4,0.0,109.01070828775455,87.02384118321962
,30,0.0,0.6,0.4,0.0,151.65898739878295,92.62364416246088
,30,0.0,0.6,0.4,0.0,147.87667855760233,88.96546765955111
,30,0.0,0.7,0.3,0.0,158.8031933996194,94.046591511018
,30,0.0,0.7,0.3,0.0,149.82837100740215,123.98906946620608
,30,0.0,0.7,0.3,0.0,143.8497439253748,83.27244308046127
,30,0.0,0.8,0.1999999999999999,0.0,138.71402422097643,101.94038014387516
,30,0.0,0.8,0.1999999999999999,0.0,111.88098829092492,105.56680847026352
,30,0.0,0.8,0.1999999999999999,0.0,166.17896020300853,111.02791759348938
,30,0.0,0.9,0.0999999999999999,0.0,158.57804307842576,127.61665074848108
,30,0.0,0.9,0.0999999999999999,0.0,143.95148770207672,119.9453011539099
,30,0.0,0.9,0.0999999999999999,0.0,153.0589029982426,130.41386701879202
,30,0.0,1.0,0.0,0.0,163.83470964667316,0.0
,30,0.0,1.0,0.0,0.0,153.272578274974,0.0
,30,0.0,1.0,0.0,0.0,182.14737708489392,0.0
,30,0.1,0.0,0.9,88.23272736952794,0.0,70.28263545420984
,30,0.1,0.0,0.9,66.7551220065539,0.0,84.97772770726745
,30,0.1,0.0,0.9,78.46868909790956,0.0,90.51209525611984
,30,0.1,0.1,0.8,126.2887390434311,86.3938570532822,74.21168158323309
,30,0.1,0.1,0.8,103.95849497859125,128.99708118648303,82.78180355700256
,30,0.1,0.1,0.8,29.46474104077648,108.6496203986098,95.75652440576378
,30,0.1,0.2,0.7,160.3512236821916,96.45802312672672,79.94810746696228
,30,0.1,0.2,0.7,129.002568075466,88.01921944173165,78.15329535273652
,30,0.1,0.2,0.7,84.06234210205737,70.38333735293382,88.99491336405228
,30,0.1,0.3,0.6000000000000001,59.32378147819957,142.90455235012337,115.70131146040134
,30,0.1,0.3,0.6000000000000001,73.49440930932612,109.09728982131492,69.33561175598771
,30,0.1,0.3,0.6000000000000001,85.17642889312376,89.05994559076953,83.38431123772968
,30,0.1,0.4,0.5,98.94120175073436,142.98161859609434,97.13420718447968
,30,0.1,0.4,0.5,91.53554123116656,125.83790509196186,96.51126906388252
,30,0.1,0.4,0.5,71.68163921996796,120.544990721979,73.51612096293536
,30,0.1,0.5,0.4,142.92182373157272,130.02500199564662,98.5273619712434
,30,0.1,0.5,0.4,125.89143209540322,115.81366672829502,95.32064640259291
,30,0.1,0.5,0.4,108.8797883992926,128.92542457705446,115.46443877689065
,30,0.1,0.6,0.3,96.0323330347799,101.26506305157125,109.73753829014512
